=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.28s]  Mówię
[0.28s - 0.44s]  te
[0.44s - 0.70s]  trzy,
[0.70s - 1.02s]  trzy
[1.02s - 1.18s]  takie
[1.18s - 1.40s]  dwa
[1.40s - 1.62s]  trzy
[1.62s - 2.08s]  elementy
[2.08s - 2.20s]  się
[2.20s - 3.14s]  pojawiają.
[3.26s - 3.60s]  Wyznowym
[3.60s - 3.74s]  się
[3.74s - 3.82s]  coś
[3.82s - 4.10s]  tutaj
[4.10s - 4.90s]  zablokowało
[4.90s - 5.02s]  z
[5.02s - 5.12s]  tym
[5.12s - 5.52s]  ekranu,
[5.52s - 5.56s]  nie
[5.56s - 5.66s]  wiem
[5.66s - 6.22s]  co,
[6.28s - 6.42s]  więc
[6.42s - 6.62s]  będę
[6.62s - 6.92s]  po
[6.92s - 7.02s]  prostu
[7.02s - 7.26s]  tak
[7.26s - 7.44s]  mówił
[7.44s - 7.56s]  z
[7.56s - 8.30s]  pamięci.
[9.12s - 9.82s]  Był
[9.82s - 9.98s]  ten
[9.98s - 10.30s]  element
[10.30s - 11.12s]  właśnie
[11.12s - 11.60s]  takiego
[11.60s - 12.60s]  indywidualizmu
[12.60s - 12.92s]  na
[12.92s - 13.34s]  działanie
[14.20s - 14.44s]  i
[14.44s - 14.54s]  tam
[14.54s - 14.66s]  by
[14.66s - 14.92s]  chyba
[14.92s - 15.62s]  uszwarca
[15.62s - 16.14s]  wychodziło
[16.14s - 16.36s]  właśnie
[16.36s - 16.52s]  jako
[16.52s - 17.68s]  indywidualizm
[17.68s - 17.80s]  w
[17.80s - 18.16s]  działaniu,
[18.16s - 18.88s]  indywidualizm
[18.88s - 19.08s]  w
[19.08s - 19.72s]  myśleniu.
[20.30s - 20.42s]  A
[20.42s - 20.52s]  z
[20.52s - 21.74s]  osobowości
[21.74s - 22.54s]  wychodziła
[22.54s - 24.42s]  obniżona
[24.42s - 25.58s]  extraversja
[25.58s - 25.86s]  chyba
[25.58s - 25.86s]  chyba
[25.86s - 26.30s]  tak?
[26.38s - 26.70s]  Jeszcze
[26.70s - 27.30s]  zyszwalca
[27.30s - 27.96s]  wychodziła
[27.96s - 28.22s]  tę
[28.22s - 30.66s]  dependybilitik.
[31.46s - 32.24s]  To
[32.24s - 32.40s]  też
[32.40s - 32.52s]  tam
[32.52s - 32.66s]  było
[32.66s - 33.10s]  wysoko,
[33.10s - 33.40s]  bo
[33.40s - 33.76s]  też
[33.76s - 33.92s]  o
[33.92s - 34.34s]  1,
[34.34s - 34.68s]  3,
[34.68s - 34.90s]  2,
[34.90s - 35.44s]  3,
[35.44s - 36.54s]  niżej
[36.54s - 36.82s]  tylko
[36.82s - 36.98s]  niż
[36.98s - 37.18s]  tam
[37.18s - 37.84s]  sobie
[37.84s - 38.22s]  rekszty.
[39.12s - 39.28s]  I
[39.28s - 39.40s]  to
[39.40s - 39.60s]  trzeba
[39.60s - 39.74s]  by
[39.74s - 40.06s]  byłoby
[40.06s - 40.76s]  zdefiniąć,
[40.76s - 40.84s]  ale
[40.84s - 41.06s]  chodzi
[41.06s - 41.14s]  o
[41.14s - 41.32s]  to,
[41.32s - 41.40s]  że
[41.40s - 41.76s]  mamy
[41.76s - 42.22s]  pewien
[42.22s - 43.00s]  schemat
[43.00s - 43.30s]  tej
[43.30s - 43.94s]  grupy,
[43.94s - 44.52s]  który
[44.52s - 44.70s]  się
[44.70s - 45.20s]  pojawia.
[45.26s - 45.28s]  I
[45.28s - 45.36s]  to
[45.36s - 45.48s]  już
[45.48s - 45.60s]  jest
[45.60s - 45.94s]  dosyć
[45.94s - 46.48s]  ciekawy
[46.48s - 48.56s]  wniosek.
[48.80s - 48.86s]  To
[48.86s - 49.18s]  też
[49.18s - 49.96s]  tam
[49.96s - 50.12s]  się
[50.12s - 50.62s]  pojawiło
[50.62s - 51.02s]  to,
[51.02s - 51.26s]  że
[51.26s - 51.98s]  z
[51.98s - 52.06s]  tych
[52.06s - 53.00s]  wniosków,
[53.64s - 53.66s]  tylko
[53.66s - 53.84s]  też
[53.84s - 53.92s]  to
[53.92s - 54.08s]  jeszcze
[54.08s - 54.48s]  byłoby
[54.48s - 54.66s]  do
[54.66s - 55.08s]  sprawdzenia
[55.08s - 55.56s]  tego,
[55.56s - 55.66s]  że
[55.66s - 56.80s]  grupa
[56.80s - 56.94s]  jako
[56.94s - 57.20s]  taka
[57.20s - 58.40s]  specyficzna,
[58.74s - 58.96s]  ona
[58.96s - 59.34s]  sama
[59.34s - 59.54s]  w
[59.54s - 59.80s]  sobie
[59.80s - 60.60s]  przyjawia
[60.60s - 61.64s]  tendencje,
[61.64s - 61.88s]  co
[61.88s - 62.00s]  w
[62.00s - 62.28s]  sumie
[62.28s - 62.68s]  włośnie
[62.68s - 63.38s]  władzało
[63.38s - 63.50s]  z
[63.50s - 63.64s]  tego,
[63.64s - 63.80s]  co
[63.80s - 64.88s]  słyszymy,
[64.88s - 65.10s]  do
[65.10s - 65.76s]  tego,
[65.76s - 65.88s]  że
[65.88s - 66.84s]  ma
[66.84s - 67.54s]  trudności
[67.54s - 68.42s]  z
[68.42s - 69.76s]  dociąganiem
[69.76s - 70.18s]  celów
[70.18s - 70.42s]  chyba
[70.42s - 70.74s]  tak,
[70.74s - 71.06s]  bo
[71.06s - 71.18s]  to
[71.18s - 71.36s]  chyba
[71.36s - 71.74s]  jakoś
[71.74s - 72.00s]  w
[72.00s - 72.10s]  tą
[72.10s - 72.48s]  stronę,
[72.48s - 72.56s]  tam
[72.56s - 73.26s]  było,
[73.26s - 73.96s]  to
[73.96s - 74.16s]  było
[74.16s - 74.46s]  związane
[74.46s - 74.64s]  z
[74.64s - 75.00s]  któryś
[75.00s - 75.14s]  z
[75.14s - 75.50s]  cech
[75.50s - 77.16s]  osobowości,
[77.16s - 78.10s]  z
[78.10s - 78.44s]  któryś
[78.44s - 78.56s]  z
[78.56s - 80.60s]  sumiennością,
[80.60s - 80.84s]  tak,
[80.84s - 81.04s]  tak,
[81.04s - 81.42s]  jakoś
[81.42s - 81.70s]  tak,
[81.70s - 81.92s]  to
[81.92s - 82.10s]  było
[82.10s - 82.46s]  chyba
[82.46s - 89.98s]  obniżone.
[84.00s - 84.14s]  My
[84.14s - 84.72s]  mamy,
[84.72s - 85.00s]  to
[85.00s - 85.14s]  jest
[85.14s - 85.44s]  tylko
[85.44s - 86.44s]  właśnie,
[86.44s - 86.54s]  a
[86.54s - 86.82s]  dwie,
[86.82s - 86.94s]  to
[86.94s - 87.04s]  by
[87.04s - 87.26s]  można
[87.26s - 87.50s]  było
[87.50s - 88.50s]  sprawdzić,
[89.26s - 89.50s]  ta
[89.50s - 89.76s]  cecha
[89.76s - 90.84s]  sumienności,
[90.84s - 91.16s]  jak
[91.16s - 91.46s]  kurde
[91.46s - 91.64s]  nie,
[91.64s - 91.72s]  a
[91.72s - 91.86s]  nawet
[91.86s - 92.02s]  nie
[92.02s - 92.20s]  mogę
[92.20s - 93.24s]  otworzyć...
[93.40s - 93.72s]  Dlać,
[93.72s - 93.72s]  na
[93.72s - 94.12s]  prawdę,
[94.12s - 94.36s]  trzy,
[94.36s - 94.56s]  trzy,
[94.56s - 94.60s]  trzy,
[94.60s - 94.62s]  trzy,
[94.62s - 94.76s]  trzy,
[94.76s - 95.14s]  trzy.
[95.58s - 95.70s]  Ale
[95.70s - 95.94s]  chodzi
[95.94s - 96.08s]  o
[96.08s - 97.30s]  to,
[97.30s - 97.40s]  bo
[97.40s - 97.54s]  chodzi
[97.54s - 97.70s]  o
[97.70s - 98.00s]  to,
[98.00s - 98.22s]  w
[98.22s - 98.42s]  ramach
[98.42s - 98.78s]  jakiej
[98.78s - 98.92s]  to
[98.92s - 99.10s]  jest
[99.10s - 100.20s]  cecha
[100.20s - 100.96s]  osobowości,
[100.96s - 101.02s]  ta
[101.02s - 101.90s]  sumienność.
[102.04s - 102.16s]  Ona
[102.16s - 102.38s]  służb
[102.38s - 102.86s]  dzielna?
[102.86s - 103.16s]  Nie.
[103.42s - 104.32s]  Ona
[104.32s - 104.48s]  jest
[104.48s - 105.56s]  o
[105.56s - 105.92s]  dziel.
[105.94s - 106.04s]  Ona
[106.04s - 106.18s]  ma
[106.18s - 106.38s]  jeszcze
[106.38s - 106.50s]  te
[106.50s - 106.70s]  5
[106.70s - 107.58s]  podpozimy,
[107.58s - 107.80s]  tak.
[107.96s - 107.96s]  No
[107.96s - 108.58s]  właśnie,
[108.58s - 108.62s]  i
[108.62s - 108.70s]  by
[108.70s - 108.94s]  można
[108.94s - 109.16s]  było
[109.16s - 109.66s]  sprawdzić,
[109.66s - 109.76s]  bo
[109.76s - 110.10s]  tego
[110.10s - 110.90s]  użytkownicy
[110.90s - 111.06s]  nie
[111.06s - 111.42s]  widzą,
[111.44s - 111.54s]  dlatego
[111.54s - 111.72s]  ja
[111.72s - 112.10s]  mówiłem,
[112.10s - 112.16s]  że
[112.16s - 112.98s]  oni
[112.98s - 113.30s]  widzą
[113.30s - 113.56s]  pewne
[113.56s - 113.96s]  ogólne
[113.96s - 114.50s]  rzeczy,
[114.50s - 114.62s]  te
[114.62s - 114.92s]  5
[114.92s - 115.58s]  podstawowych,
[115.70s - 115.86s]  natomiast
[115.86s - 116.04s]  my
[116.04s - 116.34s]  możemy
[116.34s - 117.04s]  pokazać,
[117.04s - 117.14s]  żeby
[117.14s - 117.48s]  możemy
