=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.38s]  Mówię,
[0.38s - 0.44s]  te
[0.44s - 0.72s]  trzy
[0.72s - 1.20s]  takie
[1.20s - 1.46s]  dwa,
[1.46s - 1.64s]  trzy
[1.64s - 2.08s]  elementy
[2.08s - 2.20s]  się
[2.20s - 3.14s]  pojawiają.
[3.28s - 3.36s]  Wiesz,
[3.36s - 3.60s]  nową
[3.60s - 3.70s]  się
[3.70s - 3.84s]  już
[3.84s - 4.06s]  tutaj
[4.06s - 4.90s]  zablokowało
[4.90s - 5.02s]  z
[5.02s - 5.12s]  tym
[5.12s - 5.50s]  ekranu,
[5.50s - 5.56s]  nie
[5.56s - 5.66s]  wiem
[5.66s - 6.04s]  co.
[6.34s - 6.42s]  Więc
[6.42s - 6.62s]  będę
[6.62s - 6.90s]  po
[6.90s - 7.04s]  prostu
[7.04s - 7.24s]  tak
[7.24s - 7.46s]  mówił
[7.46s - 7.58s]  z
[7.58s - 8.24s]  pamięci.
[9.12s - 9.82s]  Był
[9.82s - 9.96s]  ten
[9.96s - 10.30s]  element
[10.30s - 11.08s]  właśnie
[11.08s - 11.60s]  takiego
[11.60s - 12.78s]  indywidualizmu,
[12.78s - 12.92s]  ma
[12.92s - 13.88s]  działanie.
[14.38s - 14.44s]  I
[14.44s - 14.54s]  tam
[14.54s - 14.66s]  by
[14.66s - 14.92s]  chyba
[14.92s - 15.62s]  uszwarca
[15.62s - 16.14s]  wychodziło
[16.14s - 16.34s]  właśnie
[16.34s - 16.52s]  jako
[16.52s - 17.68s]  indywidualizm
[17.68s - 18.18s]  wydziałaniu,
[18.18s - 18.86s]  indywidualizm
[18.86s - 19.06s]  w
[19.06s - 19.68s]  myśleniu.
[20.30s - 20.42s]  A
[20.42s - 20.52s]  z
[20.52s - 21.76s]  osobowości
[21.76s - 22.56s]  wychodziła
[22.56s - 24.42s]  obniżona
[24.42s - 25.70s]  extraversja,
[25.58s - 25.86s]  chyba
[25.86s - 26.30s]  tak.
[26.36s - 26.46s]  I
[26.46s - 26.66s]  jeszcze
[26.66s - 26.92s]  zresztą
[26.92s - 27.34s]  szwarsa
[27.34s - 27.96s]  wychodziła
[27.96s - 28.24s]  ta
[28.24s - 29.88s]  dependability.
[31.54s - 32.22s]  To
[32.22s - 32.40s]  też
[32.40s - 32.52s]  tam
[32.52s - 32.66s]  było
[32.66s - 33.14s]  wysoko,
[33.14s - 33.40s]  bo
[33.40s - 33.70s]  też
[33.70s - 33.94s]  o
[33.94s - 34.20s]  1
[34.20s - 34.54s]  czy
[34.54s - 34.78s]  2
[34.78s - 35.18s]  punkty
[36.08s - 36.56s]  nierzej
[36.56s - 36.80s]  tylko
[36.80s - 36.98s]  niż
[36.98s - 37.22s]  ten
[37.22s - 38.00s]  serdej
[38.00s - 38.20s]  rekszty.
[39.20s - 39.28s]  I
[39.28s - 39.40s]  to
[39.40s - 39.60s]  trzeba
[39.60s - 39.76s]  by
[39.76s - 40.04s]  byłoby
[40.04s - 40.76s]  zdefiniować,
[40.76s - 40.84s]  ale
[40.84s - 41.06s]  chodzi
[41.06s - 41.14s]  o
[41.14s - 41.32s]  to,
[41.32s - 41.40s]  że
[41.40s - 41.74s]  mamy
[41.74s - 42.22s]  pewien
[42.22s - 43.02s]  schemat
[43.30s - 43.30s]  w
[43.30s - 43.30s]  tej
[43.30s - 44.18s]  grupy,
[44.18s - 44.52s]  który
[44.52s - 44.70s]  się
[44.70s - 45.10s]  pojawiaia
[45.10s - 45.26s]  i
[45.26s - 45.34s]  to
[45.34s - 45.48s]  już
[45.48s - 45.58s]  jest
[45.58s - 45.94s]  dosyć
[45.94s - 46.48s]  ciekawy
[46.48s - 48.52s]  wniosek.
[48.80s - 48.84s]  To
[48.84s - 49.18s]  też
[49.18s - 49.96s]  tam
[49.96s - 50.12s]  się
[50.12s - 50.62s]  pojawiło
[50.62s - 51.04s]  to,
[51.10s - 51.30s]  że
[51.30s - 51.98s]  z
[51.98s - 52.04s]  tych
[52.04s - 52.98s]  wniosków,
[53.44s - 53.66s]  tylko
[53.66s - 53.84s]  też
[53.84s - 53.92s]  to
[53.92s - 54.08s]  jeszcze
[54.08s - 54.48s]  byłoby
[54.48s - 54.66s]  do
[54.66s - 55.08s]  sprawdzenia
[55.08s - 55.58s]  tego,
[55.58s - 55.68s]  że
