id,filename,filepath,filehash,status,api_response,processed_at
1,46c7db39-3822-4464-86d8-3a3876df88dc,C:\Users\G\AppData\Local\Temp\tmp1h_hb1_u\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:02:49
2,bb3b9225-76ce-4ed8-a400-dd6543986208,C:\Users\G\AppData\Local\Temp\tmpnehg1ze_\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:05:59
3,9cd5d088-5732-4745-9e1f-5125c09a2665,C:\Users\G\AppData\Local\Temp\tmpi9h7pbmy\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:08:53
4,9001857e-a525-4c17-9e1e-1edcc4d82ab0,C:\Users\G\AppData\Local\Temp\tmp5k685n4w\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:11:45
5,3e5e302b-5e1c-430a-a413-934f76ef276a,C:\Users\G\AppData\Local\Temp\tmp16pke11l\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:16:17
6,128a8f04-e631-4be0-b4fe-a1ad6dc0742a,C:\Users\G\AppData\Local\Temp\tmprmbl4vf_\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:21:54
7,31001e64-1c23-4e7e-a9c7-6a827ccb96c1,C:\Users\G\AppData\Local\Temp\tmpi0agryye\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:28:11
8,ba1b8ee0-ce82-4fd1-9a29-e805a8cc94b6,C:\Users\G\AppData\Local\Temp\tmpf65_t9vs\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:29:56
9,0cc1a904-e928-4084-829a-366b9a2bc8d9,C:\Users\G\AppData\Local\Temp\tmpgu7lk_0o\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-07-29 13:34:47
10,ee95c202-2c47-4c67-a3a3-294c2063628e,C:\Users\G\AppData\Local\Temp\tmpeewnu08s\input.wav,061aef1f654000250742e914ab66b12e90e6e07ffbcd0eaa76be26591efcda05,completed,Processing successful,2025-08-07 06:55:04
11,f0769d69-e716-48ea-9573-bbbd06f86709,C:\Users\G\AppData\Local\Temp\tmp6slp7l9c\output_1min.wav,81c6a56fc96bacbbeb8b23de33c2c987a17c79a0c8b409e25df3d2beb060e2cd,completed,Processing successful,2025-10-30 13:10:45
